{Activation function} Optimiser Architecture Cost Error
tanh $\alpha=\num{0.01},\gamma=\num{0.1}$ 10,10,10,10 0.00415669 0.00789458
tanh $\alpha=\num{0.001},\gamma=\num{0.001}$ 10,10,10,10,10,10,10 0.00418174 0.00841024
tanh $\alpha=\num{0.01},\gamma=\num{0.1}$ 10,10,10,10,10,10 0.00431726 0.00789134
relu $\alpha=\num{0.001},\gamma=\num{0.0001}$ 10,10,10,10,10,10 0.00432423 0.00840276
relu $\alpha=\num{0.01},\gamma=\num{0.01}$ 10,100,10 0.00434645 0.00793446
tanh $\alpha=\num{0.01},\gamma=\num{0.001}$ 10,10,10,10,10 0.0043637 0.00787577
tanh $\alpha=\num{0.01},\gamma=\num{0.01}$ 10,10,10,10 0.0045625 0.00893578
relu $\alpha=\num{0.01},\gamma=\num{0.0001}$ 10,100,10 0.00463701 0.00786415
relu $\alpha=\num{0.01},\gamma=\num{0.0001}$ 10,10,10,10,10 0.00464344 0.00790804
tanh $\alpha=\num{0.001},\gamma=\num{0.1}$ 10,10,10,10,10,10,10,10 0.00464675 0.00841908
relu Adam 10,10,10,10 0.0046652 0.00834834
relu $\alpha=\num{0.01},\gamma=\num{0.1}$ 100,100,100 0.00468846 0.00891528
relu Adam 10,10,10 0.00480753 0.0084052
relu $\alpha=\num{0.01},\gamma=\num{0.0001}$ 100,100 0.00481604 0.0078809
sigmoid $\alpha=\num{0.1},\gamma=\num{0.1}$ 10,10,10 0.00482168 0.00790282
tanh $\alpha=\num{0.001},\gamma=\num{0.01}$ 10,10,10,10,10,10,10 0.00482577 0.00841319
relu Adam 10,10 0.00483906 0.00840806
relu $\alpha=\num{0.01},\gamma=\num{0.0001}$ 10,10,10 0.00494117 0.00886272
tanh $\alpha=\num{0.01},\gamma=\num{0.0001}$ 10,10,10 0.00494622 0.00892251
tanh $\alpha=\num{0.01},\gamma=\num{0.0001}$ 10,10,10,10 0.00500576 0.00784147
tanh $\alpha=\num{0.01},\gamma=\num{0.01}$ 10,10,10 0.00504285 0.00893543
relu $\alpha=\num{0.01},\gamma=\num{0.1}$ 10,10,10 0.00530229 0.00882068
tanh $\alpha=\num{0.1},\gamma=\num{0.0001}$ 10 0.00530483 0.00783973
tanh $\alpha=\num{0.01},\gamma=\num{0.1}$ 100,100,100 0.00539605 0.00901232
relu $\alpha=\num{0.01},\gamma=\num{0.001}$ 10,10,100 0.00539885 0.00792513
relu $\alpha=\num{0.001},\gamma=\num{0.0001}$ 10,10,10,10,10,10,10 0.00553756 0.00798242
relu $\alpha=\num{0.001},\gamma=\num{0.0001}$ 10,10,10,10,10 0.00567509 0.00840776
tanh $\alpha=\num{0.01},\gamma=\num{0.1}$ 10,10,10,10,10,10,10,10 0.00569683 0.00898328
relu $\alpha=\num{0.001},\gamma=\num{0.1}$ 10,10,10,10,10,10 0.00570356 0.00841536
relu $\alpha=\num{0.01},\gamma=\num{0.001}$ 100,100 0.00606996 0.0077721
tanh $\alpha=\num{0.01},\gamma=\num{0.001}$ 10,10,10,10,10,10 0.00612577 0.00902113
tanh $\alpha=\num{0.01},\gamma=\num{0.0001}$ 100,100,100 0.00621507 0.00906741
sigmoid $\alpha=\num{0.1},\gamma=\num{0.001}$ 10,10,10 0.00632654 0.00785411
tanh $\alpha=\num{0.001},\gamma=\num{0.0001}$ 10,10,10,10,10,10,10 0.00637222 0.00841927
tanh $\alpha=\num{0.01},\gamma=\num{0.001}$ 10,10,10,10 0.00664396 0.00907147
tanh $\alpha=\num{0.01},\gamma=\num{0.0001}$ 10,10,10,10,10 0.00673846 0.00908166
tanh $\alpha=\num{0.01},\gamma=\num{0.0001}$ 10,10,10,10,10,10 0.00690723 0.00907798
tanh $\alpha=\num{0.01},\gamma=\num{0.1}$ 10,10,100 0.00692507 0.00911453
tanh $\alpha=\num{0.01},\gamma=\num{0.0001}$ 10,10,10,10,10,10,10 0.00700343 0.00772919
relu $\alpha=\num{0.001},\gamma=\num{0.1}$ 10,10,10,10,10,10,10,10 0.00702404 0.00789655
tanh $\alpha=\num{0.01},\gamma=\num{0.001}$ 10,10,100 0.00704506 0.00911733
sigmoid $\alpha=\num{0.1},\gamma=\num{0.01}$ 10,10,10 0.00716789 0.00777508
tanh $\alpha=\num{0.01},\gamma=\num{0.01}$ 10,10,10,10,10,10 0.00745028 0.00906629
relu $\alpha=\num{0.001},\gamma=\num{0.01}$ 10,10,10,10,10,10 0.00746647 0.00814398
relu $\alpha=\num{0.01},\gamma=\num{0.1}$ 100,10,10 0.00746761 0.00897157
tanh $\alpha=\num{0.001},\gamma=\num{0.0001}$ 10,10,10,10,10,10 0.00755196 0.00842132
relu $\alpha=\num{0.01},\gamma=\num{0.01}$ 10,10,10,10 0.00758756 0.00778133
tanh $\alpha=\num{0.01},\gamma=\num{0.01}$ 10,10,10,10,10 0.00774085 0.00769065
relu $\alpha=\num{0.001},\gamma=\num{0.1}$ 10,10,10,10,10 0.00774842 0.00840595
tanh $\alpha=\num{0.01},\gamma=\num{0.01}$ 10,10,10,10,10,10,10 0.00780075 0.00767628
sigmoid Adam 10,10 0.00786465 0.00841771
sigmoid $\alpha=\num{0.1},\gamma=\num{0.0001}$ 10,10,10 0.00804247 0.00775222
relu $\alpha=\num{0.001},\gamma=\num{0.01}$ 10,10,10,10,10 0.00817232 0.00841576
tanh $\alpha=\num{0.01},\gamma=\num{0.001}$ 100,100,100 0.00828482 0.00920093
relu $\alpha=\num{0.01},\gamma=\num{0.001}$ 10,10,10 0.00833233 0.00905543
sigmoid $\alpha=\num{0.1},\gamma=\num{0.1}$ 10 0.00836686 0.00842612
sigmoid $\alpha=\num{0.1},\gamma=\num{0.0001}$ 10 0.00857992 0.00842518
relu $\alpha=\num{0.001},\gamma=\num{0.001}$ 100,10,10 0.00872355 0.008386
tanh $\alpha=\num{0.01},\gamma=\num{0.01}$ 100,100,100 0.0088346 0.00919263
relu $\alpha=\num{0.001},\gamma=\num{0.01}$ 100,100,100 0.00887318 0.00838592
tanh $\alpha=\num{0.001},\gamma=\num{0.1}$ 10,10,10,10 0.008944 0.00841642
tanh $\alpha=\num{0.001},\gamma=\num{0.0001}$ 10,10,10,10,10 0.00910551 0.00842232
relu $\alpha=\num{0.001},\gamma=\num{0.0001}$ 10,10,10,10,10,10,10,10 0.00920275 0.00776382
sigmoid $\alpha=\num{0.1},\gamma=\num{0.0001}$ 10,100,10 0.00936903 0.00763629
relu $\alpha=\num{0.01},\gamma=\num{0.001}$ 100,10,10 0.00938163 0.00770559
tanh $\alpha=\num{0.01},\gamma=\num{0.01}$ 10,10,10,10,10,10,10,10 0.0094326 0.00763729
relu $\alpha=\num{0.1},\gamma=\num{0.01}$ 100 0.00953003 0.00904693
tanh $\alpha=\num{0.01},\gamma=\num{0.01}$ 100,100 0.00961534 0.009066
tanh $\alpha=\num{0.01},\gamma=\num{0.0001}$ 10,10,100 0.00979093 0.00920367
