sigmoid 0.00001,0.00001 10 5060.58 8.93709
sigmoid 0.00001,0.00001 10,10 6177.34 10.0402
sigmoid 0.00001,0.00001 10,10,10 6474.61 10.2054
sigmoid 0.00001,0.00001 10,10,10,10 6477.54 10.2081
sigmoid 0.00001,0.00001 10,10,10,10,10 6478.53 10.2091
sigmoid 0.00001,0.00001 10,10,10,10,10,10 6478.42 10.209
sigmoid 0.00001,0.00001 10,10,10,10,10,10,10 6478.39 10.2089
sigmoid 0.00001,0.00001 10,10,10,10,10,10,10,10 6478.4 10.209
sigmoid 0.00001,0.00001 1000 6022.83 9.936
sigmoid 0.00001,0.00001 100 5776.03 9.67704
sigmoid 0.00001,0.00001 100,100 6380.17 10.1219
sigmoid 0.00001,0.00001 100,10,10 6477.25 10.2086
sigmoid 0.00001,0.00001 10,100,10 6477.78 10.2086
sigmoid 0.00001,0.00001 10,10,100 6476.52 10.2074
sigmoid 0.00001,0.00001 100,100,100 6471.99 10.2027
sigmoid 0.00001,0.0001 10 4748.13 8.80154
sigmoid 0.00001,0.0001 10,10 6166.08 10.0193
sigmoid 0.00001,0.0001 10,10,10 6476 10.2065
sigmoid 0.00001,0.0001 10,10,10,10 6477.72 10.2082
sigmoid 0.00001,0.0001 10,10,10,10,10 6478.49 10.209
sigmoid 0.00001,0.0001 10,10,10,10,10,10 6478.41 10.209
sigmoid 0.00001,0.0001 10,10,10,10,10,10,10 6478.4 10.209
sigmoid 0.00001,0.0001 10,10,10,10,10,10,10,10 6478.4 10.209
sigmoid 0.00001,0.0001 1000 6005.56 9.92594
sigmoid 0.00001,0.0001 100 5767.6 9.67039
sigmoid 0.00001,0.0001 100,100 6390.09 10.1269
sigmoid 0.00001,0.0001 100,10,10 6474.99 10.2103
sigmoid 0.00001,0.0001 10,100,10 6477.86 10.209
sigmoid 0.00001,0.0001 10,10,100 6467.06 10.1946
sigmoid 0.00001,0.0001 100,100,100 6472.53 10.2029
sigmoid 0.00001,0.001 10 4902.28 8.97712
sigmoid 0.00001,0.001 10,10 6163.84 10.0483
sigmoid 0.00001,0.001 10,10,10 6466.01 10.1993
sigmoid 0.00001,0.001 10,10,10,10 6477.83 10.2084
sigmoid 0.00001,0.001 10,10,10,10,10 6478.37 10.2089
sigmoid 0.00001,0.001 10,10,10,10,10,10 6478.4 10.209
sigmoid 0.00001,0.001 10,10,10,10,10,10,10 6478.39 10.2089
sigmoid 0.00001,0.001 10,10,10,10,10,10,10,10 6478.4 10.209
sigmoid 0.00001,0.001 1000 6006.63 9.92672
sigmoid 0.00001,0.001 100 5851.43 9.69984
sigmoid 0.00001,0.001 100,100 6371.6 10.1165
sigmoid 0.00001,0.001 100,10,10 6476.22 10.2088
sigmoid 0.00001,0.001 10,100,10 6478.2 10.2089
sigmoid 0.00001,0.001 10,10,100 6474.01 10.2042
sigmoid 0.00001,0.001 100,100,100 6472.93 10.2036
sigmoid 0.00001,0.01 10 4683.04 8.66658
sigmoid 0.00001,0.01 10,10 5074.02 9.46139
sigmoid 0.00001,0.01 10,10,10 6473.87 10.2071
sigmoid 0.00001,0.01 10,10,10,10 6477.03 10.2078
sigmoid 0.00001,0.01 10,10,10,10,10 6478.3 10.2088
sigmoid 0.00001,0.01 10,10,10,10,10,10 6478.41 10.2089
sigmoid 0.00001,0.01 10,10,10,10,10,10,10 6478.4 10.2089
sigmoid 0.00001,0.01 10,10,10,10,10,10,10,10 6478.4 10.209
sigmoid 0.00001,0.01 1000 6006.81 9.927
sigmoid 0.00001,0.01 100 5771.26 9.67645
sigmoid 0.00001,0.01 100,100 6336.73 10.0861
sigmoid 0.00001,0.01 100,10,10 6476.51 10.2081
sigmoid 0.00001,0.01 10,100,10 6478.46 10.2089
sigmoid 0.00001,0.01 10,10,100 6476.33 10.206
sigmoid 0.00001,0.01 100,100,100 6474.22 10.2047
sigmoid 0.00001,0.1 10 4868.47 8.6817
sigmoid 0.00001,0.1 10,10 6244.62 10.0619
sigmoid 0.00001,0.1 10,10,10 6467.82 10.1992
sigmoid 0.00001,0.1 10,10,10,10 6477.39 10.2079
sigmoid 0.00001,0.1 10,10,10,10,10 6478.29 10.2089
sigmoid 0.00001,0.1 10,10,10,10,10,10 6478.39 10.2089
sigmoid 0.00001,0.1 10,10,10,10,10,10,10 6478.39 10.2089
sigmoid 0.00001,0.1 10,10,10,10,10,10,10,10 6478.4 10.209
sigmoid 0.00001,0.1 1000 5860.43 9.85483
sigmoid 0.00001,0.1 100 5551.01 9.58098
sigmoid 0.00001,0.1 100,100 6348.68 10.0954
sigmoid 0.00001,0.1 100,10,10 6477.45 10.2085
sigmoid 0.00001,0.1 10,100,10 6478.2 10.2089
sigmoid 0.00001,0.1 10,10,100 6469.6 10.1972
sigmoid 0.00001,0.1 100,100,100 6472.75 10.2032
sigmoid 0.0001,0.00001 10 218.056 7.38279
sigmoid 0.0001,0.00001 10,10 43.2375 7.17251
sigmoid 0.0001,0.00001 10,10,10 66.1588 8.26044
sigmoid 0.0001,0.00001 10,10,10,10 179.666 9.16895
sigmoid 0.0001,0.00001 10,10,10,10,10 6477.03 10.2078
sigmoid 0.0001,0.00001 10,10,10,10,10,10 6478.39 10.2089
sigmoid 0.0001,0.00001 10,10,10,10,10,10,10 6478.4 10.209
sigmoid 0.0001,0.00001 10,10,10,10,10,10,10,10 6478.4 10.209
sigmoid 0.0001,0.00001 1000 4658.54 9.36628
sigmoid 0.0001,0.00001 100 3007.98 12.9799
sigmoid 0.0001,0.00001 100,100 182.847 8.87726
sigmoid 0.0001,0.00001 100,10,10 115.973 5.71071
sigmoid 0.0001,0.00001 10,100,10 167.956 9.51287
sigmoid 0.0001,0.00001 10,10,100 62.9973 6.04491
sigmoid 0.0001,0.00001 100,100,100 168.686 5.6033
sigmoid 0.0001,0.0001 10 212.149 7.38037
sigmoid 0.0001,0.0001 10,10 2763.31 13.0909
sigmoid 0.0001,0.0001 10,10,10 90.525 8.64173
sigmoid 0.0001,0.0001 10,10,10,10 235.906 9.87962
sigmoid 0.0001,0.0001 10,10,10,10,10 6478.1 10.2086
sigmoid 0.0001,0.0001 10,10,10,10,10,10 6478.33 10.2089
sigmoid 0.0001,0.0001 10,10,10,10,10,10,10 6478.4 10.209
sigmoid 0.0001,0.0001 10,10,10,10,10,10,10,10 6478.4 10.209
sigmoid 0.0001,0.0001 1000 5304.84 9.54135
sigmoid 0.0001,0.0001 100 3008.74 12.9844
sigmoid 0.0001,0.0001 100,100 279.353 10.0539
sigmoid 0.0001,0.0001 100,10,10 116.092 8.92559
sigmoid 0.0001,0.0001 10,100,10 206.401 9.44878
sigmoid 0.0001,0.0001 10,10,100 76.5822 6.00226
sigmoid 0.0001,0.0001 100,100,100 215.723 9.62578
sigmoid 0.0001,0.001 10 173.966 7.32554
sigmoid 0.0001,0.001 10,10 60.2305 7.28328
sigmoid 0.0001,0.001 10,10,10 86.1333 6.00212
sigmoid 0.0001,0.001 10,10,10,10 191.638 9.40312
sigmoid 0.0001,0.001 10,10,10,10,10 6478.08 10.2087
sigmoid 0.0001,0.001 10,10,10,10,10,10 6478.29 10.2089
sigmoid 0.0001,0.001 10,10,10,10,10,10,10 6478.4 10.209
sigmoid 0.0001,0.001 10,10,10,10,10,10,10,10 6478.4 10.2089
sigmoid 0.0001,0.001 1000 4587.66 9.36505
sigmoid 0.0001,0.001 100 3001.4 12.9887
sigmoid 0.0001,0.001 100,100 195.794 9.50163
sigmoid 0.0001,0.001 100,10,10 131.212 5.46204
sigmoid 0.0001,0.001 10,100,10 2772.88 12.118
sigmoid 0.0001,0.001 10,10,100 91.622 8.74592
sigmoid 0.0001,0.001 100,100,100 197.731 9.76717
sigmoid 0.0001,0.01 10 261.953 7.5835
sigmoid 0.0001,0.01 10,10 2768.31 13.1061
sigmoid 0.0001,0.01 10,10,10 82.66 8.50921
sigmoid 0.0001,0.01 10,10,10,10 127.003 5.69731
sigmoid 0.0001,0.01 10,10,10,10,10 6477.71 10.2085
sigmoid 0.0001,0.01 10,10,10,10,10,10 6478.35 10.2089
sigmoid 0.0001,0.01 10,10,10,10,10,10,10 6478.4 10.209
